freq,Omicida,Sesso della vittima,Unità,Nazione,Anno,Omicidi
A,Partner,M,Valori per centomila abitanti,Slovenia,2008,0.0
A,Partner,M,Valori per centomila abitanti,Inghilterra e Galles,2008,0.12
A,Partner,M,Valori per centomila abitanti,Scozia,2008,0.16
A,Partner,M,Valori per centomila abitanti,Irlanda del Nord,2008,0.23
A,Partner,T,Valori assoluti,Repubblica Ceca,2008,25.0
A,Partner,T,Valori assoluti,Finlandia,2008,31.0
A,Partner,T,Valori assoluti,Italia,2008,78.0
A,Partner,T,Valori assoluti,Lituania,2008,32.0
A,Partner,T,Valori assoluti,Paesi Bassi,2008,19.0
A,Partner,T,Valori assoluti,Slovenia,2008,3.0
A,Partner,T,Valori assoluti,Inghilterra e Galles,2008,135.0
A,Partner,T,Valori assoluti,Scozia,2008,19.0
A,Partner,T,Valori assoluti,Irlanda del Nord,2008,3.0
A,Partner,T,Valori per centomila abitanti,Repubblica Ceca,2008,0.24
A,Partner,T,Valori per centomila abitanti,Finlandia,2008,0.58
A,Partner,T,Valori per centomila abitanti,Italia,2008,0.13
A,Partner,T,Valori per centomila abitanti,Lituania,2008,1.0
A,Partner,T,Valori per centomila abitanti,Paesi Bassi,2008,0.12
A,Partner,T,Valori per centomila abitanti,Slovenia,2008,0.15
A,Partner,T,Valori per centomila abitanti,Inghilterra e Galles,2008,0.25
A,Partner,T,Valori per centomila abitanti,Scozia,2008,0.37
A,Partner,T,Valori per centomila abitanti,Irlanda del Nord,2008,0.17
A,Familiare,F,Valori assoluti,Svizzera,2009,5.0
A,Familiare,F,Valori assoluti,Repubblica Ceca,2009,7.0
A,Familiare,F,Valori assoluti,Finlandia,2009,3.0
A,Familiare,F,Valori assoluti,Ungheria,2009,7.0
A,Familiare,F,Valori assoluti,Italia,2009,51.0
A,Familiare,F,Valori assoluti,Lituania,2009,7.0
A,Familiare,F,Valori assoluti,Paesi Bassi,2009,18.0
A,Familiare,F,Valori assoluti,Slovenia,2009,3.0
A,Familiare,F,Valori assoluti,Inghilterra e Galles,2009,43.0
A,Familiare,F,Valori assoluti,Scozia,2009,4.0
A,Familiare,F,Valori assoluti,Irlanda del Nord,2009,1.0
A,Familiare,F,Valori per centomila abitanti,Svizzera,2009,0.13
A,Familiare,F,Valori per centomila abitanti,Repubblica Ceca,2009,0.13
A,Familiare,F,Valori per centomila abitanti,Finlandia,2009,0.11
A,Familiare,F,Valori per centomila abitanti,Ungheria,2009,0.13
A,Familiare,F,Valori per centomila abitanti,Italia,2009,0.17
A,Familiare,F,Valori per centomila abitanti,Lituania,2009,0.41
A,Familiare,F,Valori per centomila abitanti,Paesi Bassi,2009,0.22
A,Familiare,F,Valori per centomila abitanti,Slovenia,2009,0.29
A,Familiare,F,Valori per centomila abitanti,Inghilterra e Galles,2009,0.15
A,Familiare,F,Valori per centomila abitanti,Scozia,2009,0.15
A,Familiare,F,Valori per centomila abitanti,Irlanda del Nord,2009,0.11
A,Familiare,M,Valori assoluti,Svizzera,2009,5.0
A,Familiare,M,Valori assoluti,Repubblica Ceca,2009,18.0
A,Familiare,M,Valori assoluti,Finlandia,2009,9.0
A,Familiare,M,Valori assoluti,Ungheria,2009,15.0
A,Familiare,M,Valori assoluti,Italia,2009,56.0
A,Familiare,M,Valori assoluti,Lituania,2009,12.0
A,Familiare,M,Valori assoluti,Paesi Bassi,2009,12.0
A,Familiare,M,Valori assoluti,Slovenia,2009,1.0
A,Familiare,M,Valori assoluti,Inghilterra e Galles,2009,47.0
A,Familiare,M,Valori assoluti,Scozia,2009,2.0
A,Familiare,M,Valori assoluti,Irlanda del Nord,2009,3.0
A,Familiare,M,Valori per centomila abitanti,Svizzera,2009,0.13
A,Familiare,M,Valori per centomila abitanti,Repubblica Ceca,2009,0.35
A,Familiare,M,Valori per centomila abitanti,Finlandia,2009,0.34
A,Familiare,M,Valori per centomila abitanti,Ungheria,2009,0.31
A,Familiare,M,Valori per centomila abitanti,Italia,2009,0.2
A,Familiare,M,Valori per centomila abitanti,Lituania,2009,0.81
A,Familiare,M,Valori per centomila abitanti,Paesi Bassi,2009,0.15
A,Familiare,M,Valori per centomila abitanti,Slovenia,2009,0.1
A,Familiare,M,Valori per centomila abitanti,Inghilterra e Galles,2009,0.17
A,Familiare,M,Valori per centomila abitanti,Scozia,2009,0.08
A,Familiare,M,Valori per centomila abitanti,Irlanda del Nord,2009,0.34
A,Familiare,T,Valori assoluti,Svizzera,2009,10.0
A,Familiare,T,Valori assoluti,Repubblica Ceca,2009,25.0
A,Familiare,T,Valori assoluti,Finlandia,2009,12.0
A,Familiare,T,Valori assoluti,Ungheria,2009,22.0
A,Familiare,T,Valori assoluti,Italia,2009,107.0
A,Familiare,T,Valori assoluti,Lituania,2009,19.0
A,Familiare,T,Valori assoluti,Paesi Bassi,2009,30.0
A,Familiare,T,Valori assoluti,Slovenia,2009,4.0
A,Familiare,T,Valori assoluti,Inghilterra e Galles,2009,86.0
A,Familiare,T,Valori assoluti,Scozia,2009,6.0
A,Familiare,T,Valori assoluti,Irlanda del Nord,2009,4.0
A,Familiare,T,Valori per centomila abitanti,Svizzera,2009,0.13
A,Familiare,T,Valori per centomila abitanti,Repubblica Ceca,2009,0.24
A,Familiare,T,Valori per centomila abitanti,Finlandia,2009,0.23
A,Familiare,T,Valori per centomila abitanti,Ungheria,2009,0.22
A,Familiare,T,Valori per centomila abitanti,Italia,2009,0.18
A,Familiare,T,Valori per centomila abitanti,Lituania,2009,0.6
A,Familiare,T,Valori per centomila abitanti,Paesi Bassi,2009,0.18
A,Familiare,T,Valori per centomila abitanti,Slovenia,2009,0.2
A,Familiare,T,Valori per centomila abitanti,Inghilterra e Galles,2009,0.16
A,Familiare,T,Valori per centomila abitanti,Scozia,2009,0.12
A,Familiare,T,Valori per centomila abitanti,Irlanda del Nord,2009,0.22
A,Partner,F,Valori assoluti,Svizzera,2009,11.0
A,Partner,F,Valori assoluti,Repubblica Ceca,2009,15.0
A,Partner,F,Valori assoluti,Finlandia,2009,24.0
A,Partner,F,Valori assoluti,Ungheria,2009,31.0
A,Partner,F,Valori assoluti,Italia,2009,79.0
A,Partner,F,Valori assoluti,Lituania,2009,19.0
A,Partner,F,Valori assoluti,Paesi Bassi,2009,17.0
A,Partner,F,Valori assoluti,Slovenia,2009,2.0
A,Partner,F,Valori assoluti,Inghilterra e Galles,2009,95.0
A,Partner,F,Valori assoluti,Scozia,2009,8.0
A,Partner,F,Valori assoluti,Irlanda del Nord,2009,3.0
A,Partner,F,Valori per centomila abitanti,Svizzera,2009,0.28
A,Partner,F,Valori per centomila abitanti,Repubblica Ceca,2009,0.28
A,Partner,F,Valori per centomila abitanti,Finlandia,2009,0.88
A,Partner,F,Valori per centomila abitanti,Ungheria,2009,0.59
A,Partner,F,Valori per centomila abitanti,Italia,2009,0.26
A,Partner,F,Valori per centomila abitanti,Lituania,2009,1.11
A,Partner,F,Valori per centomila abitanti,Paesi Bassi,2009,0.2
A,Partner,F,Valori per centomila abitanti,Slovenia,2009,0.19
A,Partner,F,Valori per centomila abitanti,Inghilterra e Galles,2009,0.34
A,Partner,F,Valori per centomila abitanti,Scozia,2009,0.3
A,Partner,F,Valori per centomila abitanti,Irlanda del Nord,2009,0.33
A,Partner,M,Valori assoluti,Svizzera,2009,4.0
A,Partner,M,Valori assoluti,Repubblica Ceca,2009,14.0
A,Partner,M,Valori assoluti,Finlandia,2009,6.0
A,Partner,M,Valori assoluti,Ungheria,2009,9.0
A,Partner,M,Valori assoluti,Italia,2009,13.0
A,Partner,M,Valori assoluti,Lituania,2009,6.0
A,Partner,M,Valori assoluti,Paesi Bassi,2009,2.0
A,Partner,M,Valori assoluti,Slovenia,2009,0.0
A,Partner,M,Valori assoluti,Inghilterra e Galles,2009,19.0
A,Partner,M,Valori assoluti,Scozia,2009,4.0
